period,total area,instances,slack
100,1194.872,551,-280
150,1212.428,586,-247
200,1323.084,634,-164
250,1251.264,614,-111
300,1302.602,588,-60
305,1179.178,618,-63
310,1250.732,655,-64
315,1269.352,662,-90
320,1168.538,604,-70
325,1125.978,604,-68
330,1235.304,551,-43
335,1333.724,589,-43
340,1238.496,575,-45
345,1204.182,599,-55
350,1245.412,581,-44
355,1255.786,618,-59
360,1330.266,565,0
365,1162.686,567,-37
370,1102.038,513,0
375,1160.558,555,0
385,1192.744,570,0
395,1168.804,572,0
400,1149.652,536,1
430,1026.494,500,1
460,1028.09,510,-1
480,1012.396,485,1
500,1044.848,487,0
530,972.23,449,0
560,969.304,448,1
600,977.018,431,27
630,976.22,424,45
660,951.748,426,17
700,960.526,431,44
760,948.822,437,90
790,971.964,419,188
795,971.964,419,193
800,971.964,419,198
805,971.964,419,203
810,973.028,419,208
815,973.028,419,213
820,973.028,419,218
825,973.028,419,223
830,972.762,426,157
840,972.762,426,167
850,943.502,403,127
860,952.812,407,74
870,996.436,426,274
880,961.59,416,220
910,990.052,424,244
960,983.136,420,287
1060,963.984,419,356
